start	end	text
0	4960	Hoy vamos a explorar uno de los monumentos más emblemáticos de Barcelona, una obra
4960	10000	maestra del modernismo llevada a cabo por el arquitecto Antoni Gaudí, que atrae a miles
10000	11680	de visitantes a diario.
11680	15600	Quédate conmigo y descubre los entresijos de la Casa Valló.
15600	27160	¡Comenzamos!
27320	31720	Trasladamos al paseo de Gracia de Barcelona, donde las familias más ilustres de la ciudad
31720	36160	fueron estableciendo su residencia a partir del año 1860.
36160	41080	El edificio de la Casa Valló fue construido por Emilio Cortés-Sala, profesor de Antoni
41080	46680	Gaudí y posteriormente adquirido por Josep Valló y Casanovas, quien encargó su remodelación
46680	47880	a Gaudí.
47880	52380	El arquitecto alcanzó su plenitud artística con esta obra basada en la naturaleza, donde
52380	57140	todos sus elementos están elegidos minuciosamente por él mismo.
57140	60900	Comencemos analizando la fachada de este singular edificio.
60900	65940	A primera vista podemos observar una característica que la hace inconfundible, su superficie
65940	71540	ondulada, compuesta por piedra cerámica y vidrio, como materiales predominantes, que
71540	76180	junto con su espectacular mezcla de luz y color, nos sumerge en un mundo de fantasía
76180	80740	en el que podemos dejar volar nuestra imaginación para interpretar lo que el arquitecto quiso
80780	85300	transmitir con su creación, cosa que nunca llegó a aclarar.
85300	89740	Una de estas interpretaciones nos hace creer que la fachada de la Casa Valló narra la
89740	95060	leyenda de San Jordi, en la que éste con su espada mató al dragón que acechaba al pueblo
95060	97260	para salvar a la princesa.
97260	102460	Así, la parte inferior del edificio representa la entrada a la caverna del dragón.
102460	107820	En la planta principal, los ventanales representan bocas abiertas gritando de terror y sobre
107900	111540	ellas un murciélago con sus alas desplegadas.
111540	116380	Los balcones de las plantas superiores se asemejan a las calaveras de las víctimas del dragón.
116380	120820	En la parte superior se aprecia el dragón derrotado y cubierto de sangre que emana de
120820	126620	la herida mortal producida por la espada de San Jordi, representada por la cruz de la torre.
126620	131180	Y finalmente, el pequeño balcón superior central simboliza la rosa que brota de la
131180	135540	sangre del dragón y que San Jordi entregó a la princesa tras derrotarlo.
135660	139860	De ahí la tradicional festividad de San Jordi en Cataluña, día en el que las parejas
139860	143460	se intercambian rosas y libros entre ellos.
143460	148660	Ahora adentrémonos en el edificio para analizar con detalle la genialidad de Gaudí, que logra
148660	154940	reunir un diseño peculiar y único sin perder de vista la funcionalidad y eficiencia energética.
154940	158980	Este tour inmersivo, más que un tour, es una experiencia multidimensional en la que
