start	end	text
0	23520	El Palaz Barcelona was created in 1919 by César Ritz. It was at that time the first luxury hotel in the city and was known as the Ritz Barcelona.
23600	46760	El Palaz Barcelona es una institución en el nivel de Barcelona para los catalanes, es mucho más que un hotel y es muy importante.
46760	56160	Más familias han hecho sus eventos más importantes, pero la primera vez que me metí los pies en este hotel en el hotel, no sé si se ha pasado algo.
56160	62280	Es el odio y el atmósfera, la energía. Hay algo especial en este hotel.
67080	72520	Es muy importante para nosotros mantenerlo viviendo. Siempre se pasaba algo aquí.
72520	80360	Por ejemplo, el sábado y la tarde, hay toda la burguesía catalana que se ha encontrado aquí para hacer la feta, para tomar el té.
95360	98560	El Palaz Barcelona tiene una oferta muy fuerte.
98560	104200	Aquí, estamos en la flora del 7º del hotel. Es el gato de Rooftop y es mi lugar favorito.
104200	113920	Puedes tener un mezclado internacional y catalánico y es todo por compartirlo. Tapas, coquetas, es una lluvia muy hermosa.
117600	126760	En nuestro Rooftop Garden tenemos una cocina que es una mezcla entre la cocina local y una cocina internacional, ya que muchísimos de nuestros clientes vienen de todas partes del mundo.
126840	136960	Tenemos un espacio privilegiado con un clima maravilloso y es perfecto para el concepto que sería compartir el concepto de tapeo y para compartir al centro de la mesa, ¿no?
146080	152720	Luego tenemos Amar. Amar fue realizado en un parque con el chef Rafa Zafra, el former chef de Elbúli.
152720	157960	Es una cocina mediterránea pero con una atención muy fuerte a la calidad del producto.
182720	199440	Y en el lugar histórico de la cocina de Elbúli, puedes tener, por supuesto, en una parte, una cocina tradicional de inglés, y en la segunda parte de la cocina, un restaurante muy bonito, enfocado en la cocina catalánica de Cataluña.
199640	205040	El próximo parque de Barcelona es, por supuesto, inventarris la Nuria r니까 sobre cada culture y atmósfie.
205040	223600	Los monopolistas novelos,بة plannerías
223600	226600	Lo que pasa aquí es, por supuesto, la arquitectura,
226600	228600	de los facades colores de Gaudi
228600	230600	a los detalles goteños de la ciudad.
230600	233600	Cada una de las estrellas tiene su propio suelo,
233600	235600	un sol artístico.
235600	238600	En el Palaz Barcelona, no tienes que dejar el hotel
238600	240600	para disfrutar de momentos unforgettable.
240600	242600	Puedes disfrutar de la sesión de yoga,
242600	244600	abrir el cine bajo las estrellas
244600	245600	o muchos otros eventos,
245600	247600	según el tiempo del año.
247600	249600	Y si quieres un momento muy memorabilizado,
249600	251600	puedes rentar el bote privado, el Palaz,
252600	254600	para disfrutar de la costa alrededor de Barcelona.
263600	266600	Otro favorito que recomiendo es Santa Olalia.
266600	268600	Es una store multi-brand
268600	270600	y lo que es muy especial sobre esto
270600	273600	es que conserva el arte de la escala de paz
273600	275600	y el making de las costas customas
275600	277600	con un atelier dentro de la store
277600	279600	distribuido en una craftsmanship tradicional.
281600	283600	He comprado muchos libros sobre el hotel,
283600	285600	como El Salvador Dalíguez,
285600	287600	un bote, un gran bote,
287600	288600	que le llevó a su suelo.
288600	290600	Y él vivió en el hotel por unos días,
290600	293600	por eso decidimos llamar a uno de nuestros suelos
293600	294600	después de él.
294600	296600	Lo mismo con Josephine Baker.
296600	297600	Siempre vivía con nosotros
297600	300600	y se produjo en uno de nuestros suelos
300600	301600	en el hotel.
301600	303600	Por eso también llamamos a uno de los suelos
303600	304600	después de él.
305600	307600	Yo estaba muy contento de que te descubieras
307600	309600	este hotel histórico unido.
309600	311600	Hay pocas cosas que me gustan mucho aquí.
311600	314600	Lo primero es la diversidad de atmósfeles
314600	317600	entre el gran decoro de todo aquí
317600	319600	y la atmósfera vibrante de El Yardín
319600	320600	en el rúfaro.
320600	322600	El rúfaro es mi segundo favorito.
322600	324600	Es absolutamente orgulloso.
324600	326600	Es como un jardín en el cielo.
326600	327600	Hay puestos,
327600	328600	hay este restaurante libanés.
328600	330600	Tiene que ser probado, por supuesto,
330600	331600	cuando estés aquí.
331600	333600	Y mi primer favorito es
333600	334600	el de Maya Juel.
334600	336600	Es un coctel fantástico
336600	338600	y realmente me gustó mucho.
